City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
160,Lake Havasu City,US,34.4839,-114.3224,82.4,6,0,3.44,clear sky
161,Matagami,CA,49.7502,-77.6328,33.91,100,100,5.75,light snow
162,Samarai,PG,-10.6167,150.6667,87.17,66,78,10.6,broken clouds
163,Necochea,AR,-38.5473,-58.7368,61.56,82,100,3.27,light rain
164,Carauari,BR,-4.8828,-66.8958,74.34,97,100,1.61,light rain
165,Robertsport,LR,6.7533,-11.3686,78.03,90,15,6.02,light rain
166,Jamestown,US,42.097,-79.2353,46.02,49,90,1.99,overcast clouds
167,Ahipara,NZ,-35.1667,173.1667,68.65,75,73,17.38,broken clouds
168,San Ignacio,BZ,17.1561,-89.0714,70.9,97,100,6.11,overcast clouds
169,Yumen,CN,40.2833,97.2,38.41,50,77,12.28,broken clouds
170,Poum,NC,-20.2333,164.0167,81.07,71,40,3.36,scattered clouds
171,Tveit,NO,58.2337,8.122,29.97,100,5,0.0,clear sky
172,Shumskiy,RU,54.8318,99.1328,26.58,61,100,2.84,overcast clouds
173,Staryy Nadym,RU,65.6118,72.6842,14.27,93,100,6.22,overcast clouds
174,Chumikan,RU,54.7183,135.315,29.16,83,76,5.77,broken clouds
175,Riyadh,SA,24.6877,46.7219,60.94,35,0,12.3,clear sky
176,Kavieng,PG,-2.5744,150.7967,84.96,63,88,5.46,overcast clouds
177,Springbok,ZA,-29.6643,17.8865,58.66,76,0,1.83,clear sky
178,Barrow,US,71.2906,-156.7887,-0.96,87,9,19.62,clear sky
179,Portland,US,45.5234,-122.6762,58.55,69,96,3.0,overcast clouds
180,Andrelandia,BR,-21.7397,-44.3092,62.47,94,19,2.46,few clouds
181,Elat,IL,29.5581,34.9482,51.64,58,40,2.3,scattered clouds
182,Coahuayana,MX,18.7333,-103.6833,67.33,80,0,3.11,clear sky
183,Hobart,AU,-42.8794,147.3294,73.26,51,20,6.91,few clouds
184,Ayacucho,PE,-13.1583,-74.2239,54.7,87,40,3.58,light rain
185,Colac,AU,-38.3333,143.5833,66.16,42,8,4.41,clear sky
186,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.96,98,100,1.95,overcast clouds
187,Tiksi,RU,71.6872,128.8694,1.45,84,94,1.52,overcast clouds
188,Xunchang,CN,28.4543,104.715,61.84,72,100,0.89,overcast clouds
189,Ancud,CL,-41.8697,-73.8203,54.23,90,19,4.59,few clouds
190,Taoudenni,ML,22.6783,-3.9836,70.88,25,0,10.4,clear sky
191,Maumere,ID,-8.6199,122.2111,84.54,69,56,2.95,broken clouds
192,Iqaluit,CA,63.7506,-68.5145,8.33,71,75,4.61,broken clouds
193,Payo,ID,-3.7508,103.6372,87.76,61,100,1.97,overcast clouds
194,Praia,CV,14.9215,-23.5087,66.74,72,40,17.27,scattered clouds
195,Mehamn,NO,71.0357,27.8492,23.77,86,100,17.69,light snow
196,Esperance,AU,-33.8667,121.9,75.04,48,0,6.98,clear sky
197,Asosa,ET,10.0667,34.5333,67.53,26,3,5.68,clear sky
198,Hohen Neuendorf,DE,52.6667,13.2833,45.86,48,0,2.75,clear sky
199,Russell,US,32.3502,-85.1999,53.11,77,5,2.08,clear sky
200,Itarema,BR,-2.9248,-39.9167,76.89,86,54,6.44,broken clouds
201,Port-Cartier,CA,50.0334,-66.8654,28.51,98,100,7.92,snow
202,Buinsk,RU,54.95,48.2833,32.38,82,100,11.18,overcast clouds
203,Punta Cardon,VE,11.6581,-70.215,77.11,82,35,28.59,scattered clouds
204,Maluso,PH,6.543,121.8753,83.37,74,100,5.26,overcast clouds
205,Alofi,NU,-19.0595,-169.9187,78.87,81,100,18.43,moderate rain
206,Callosa De Segura,ES,38.125,-0.8782,58.98,78,100,11.99,overcast clouds
